iter	Logloss
0	0.6869959587
1	0.6801161271
2	0.6726192308
3	0.6649441139
4	0.65879065
5	0.6508193945
6	0.6434668076
7	0.6366568289
8	0.6306195443
9	0.6250835517
10	0.618846479
11	0.6126073759
12	0.6072188811
13	0.6012117472
14	0.5958673602
15	0.5900772248
16	0.5832141353
17	0.577972414
18	0.5728328836
19	0.5662204646
20	0.5621321619
21	0.5572846708
22	0.5524369576
23	0.5474565048
24	0.5429362698
25	0.538021886
26	0.534640084
27	0.5307253068
28	0.5261373586
29	0.520995342
30	0.5159444189
31	0.5117170255
32	0.5076402014
33	0.5024138524
34	0.4992306509
35	0.4946694969
36	0.4895576219
37	0.4860186581
38	0.4825835814
39	0.4789558944
40	0.4758022956
41	0.472118234
42	0.468423651
43	0.4645672376
44	0.4612291421
45	0.4581091741
46	0.4549049313
47	0.4518589746
48	0.4483074927
49	0.4442926672
50	0.441248111
51	0.4379795674
52	0.434226756
53	0.4310826718
54	0.4281465097
55	0.4246994366
56	0.4219366183
57	0.4195145299
58	0.4167838806
59	0.4139657488
60	0.4115998513
61	0.4086816368
62	0.4061816607
63	0.4044322471
64	0.4024737896
65	0.4001015089
66	0.3974386107
67	0.3948577573
68	0.3930999779
69	0.3903469251
70	0.3875950597
71	0.3854438945
72	0.3832494731
73	0.3812687443
74	0.3792927658
75	0.3772960341
76	0.375275673
77	0.3727238335
78	0.371179341
79	0.3693580115
80	0.3672214154
81	0.3655562613
82	0.3640181742
83	0.3623734817
84	0.3604766974
85	0.3591087889
86	0.3571230893
87	0.3551448189
88	0.3533166317
89	0.35151357
90	0.3494398391
91	0.3477771024
92	0.3462885861
93	0.3449070875
94	0.342888092
95	0.341661842
96	0.3399522291
97	0.3385888178
98	0.336993669
99	0.3350947129
100	0.3336265249
101	0.3320468338
102	0.3305420742
103	0.3292767886
104	0.3277410111
105	0.326049895
106	0.324698124
107	0.3234566083
108	0.3220953149
109	0.3204806525
110	0.3192237112
111	0.3177485457
112	0.3161352643
113	0.3146568592
114	0.3131776245
115	0.3116261946
116	0.3102856172
117	0.3094271663
118	0.3084659267
119	0.3071590646
120	0.3060587439
121	0.3048635482
122	0.3037009355
123	0.3026324672
124	0.3016837145
125	0.3006035964
126	0.2994037867
127	0.2984016404
128	0.2972629583
129	0.2965789826
130	0.2956412959
131	0.2947094911
132	0.2939055887
133	0.2928416565
134	0.2920912753
135	0.2909282826
136	0.2901597149
137	0.2893215606
138	0.2883363238
139	0.2873869106
140	0.286622394
141	0.2856761842
142	0.2847869682
143	0.2841164588
144	0.2831976892
145	0.2825607855
146	0.2817922668
147	0.2808631032
148	0.2796319526
149	0.2785571103
150	0.2775548962
151	0.2767992495
152	0.2760718319
153	0.2752275936
154	0.2742453331
155	0.2734943303
156	0.272631501
157	0.2721005845
158	0.2713437375
159	0.2705398574
160	0.2696912226
161	0.2690523647
162	0.2680092408
163	0.2671586303
164	0.266510004
165	0.2661254359
166	0.2653401806
167	0.2645782988
168	0.2638833852
169	0.2631876176
170	0.2625466879
171	0.2621393392
172	0.2615980298
173	0.2606979636
174	0.2599750085
175	0.2593591151
176	0.2587058301
177	0.2582284221
178	0.257423675
179	0.2566345853
180	0.2557902272
181	0.2553198606
182	0.2547571028
183	0.2542169137
184	0.2535592567
185	0.2529392514
186	0.2520179016
187	0.2513670102
188	0.2507434924
189	0.2502302699
190	0.2497837112
191	0.249465324
192	0.2486862755
193	0.247911376
194	0.2472906026
195	0.2466992541
196	0.246093229
197	0.2456382579
198	0.2450677591
199	0.2444161655
200	0.2439165225
201	0.2433591946
202	0.2429637554
203	0.2423837583
204	0.2420237856
205	0.2415719371
206	0.2410670184
207	0.2408167606
208	0.2402718353
209	0.239977224
210	0.2393065007
211	0.2390352731
212	0.2385809506
213	0.2379425981
214	0.2376834428
215	0.2371790427
216	0.2366876282
217	0.2362434264
218	0.2356531851
219	0.2352190011
220	0.2347869302
221	0.2344366868
222	0.2339808405
223	0.2335228612
224	0.2331405108
225	0.232834395
226	0.2322815874
227	0.2319535817
228	0.2316036018
229	0.2311314329
230	0.2307869285
231	0.2303187491
232	0.2299019757
233	0.2295883243
234	0.2292945216
235	0.2287358568
236	0.2284155801
237	0.2280598301
238	0.2275120686
239	0.2271742259
240	0.2267339291
241	0.2261639321
242	0.2258230874
243	0.2254063986
244	0.2248441403
245	0.2244558048
246	0.2239311116
247	0.2234845736
248	0.2231422197
249	0.2227929419
250	0.2224244748
251	0.2219087689
252	0.2215984794
253	0.2215173605
254	0.2211338164
255	0.2207621024
256	0.2203301327
257	0.2199396436
258	0.2195974882
259	0.2192791213
260	0.2191871042
261	0.218910609
262	0.2187490787
263	0.2184682449
264	0.2183881401
265	0.2181021573
266	0.2176250734
267	0.2172656471
268	0.216902459
269	0.2166269471
270	0.2163102426
271	0.2160833961
272	0.2157086244
273	0.215498257
274	0.2153039437
275	0.2150072609
276	0.2145293188
277	0.2142531492
