iter	Passed	Remaining
415	2584	3628
416	2592	3623
417	2598	3617
418	2602	3608
419	2608	3602
420	2611	3591
421	2615	3582
422	2621	3575
423	2624	3565
424	2628	3555
425	2636	3552
426	2641	3544
427	2644	3534
428	2651	3529
429	2658	3523
430	2661	3514
431	2666	3506
432	2669	3496
433	2673	3486
434	2676	3476
435	2679	3466
436	2683	3457
437	2686	3447
438	2690	3437
439	2693	3427
440	2697	3419
441	2701	3410
442	2704	3400
443	2707	3390
444	2711	3381
445	2714	3372
446	2717	3362
447	2720	3352
448	2723	3342
449	2728	3335
450	2732	3325
451	2735	3315
452	2744	3314
453	2748	3305
454	2751	3295
455	2754	3285
456	2758	3277
457	2761	3268
458	2764	3258
459	2767	3249
460	2770	3239
461	2776	3232
462	2779	3223
463	2782	3213
464	2785	3204
465	2789	3196
466	2792	3187
467	2795	3178
468	2799	3169
469	2802	3160
470	2807	3153
471	2811	3144
472	2814	3135
473	2817	3126
474	2822	3119
475	2825	3110
476	2828	3101
477	2831	3092
478	2836	3085
479	2840	3076
480	2843	3067
481	2846	3059
482	2852	3053
483	2855	3044
484	2858	3035
485	2861	3026
486	2868	3021
487	2871	3012
488	2874	3004
489	2877	2995
490	2882	2988
491	2885	2979
492	2888	2970
493	2891	2962
494	2895	2954
495	2899	2946
496	2903	2938
497	2906	2929
498	2909	2920
499	2914	2914
500	2916	2905
501	2919	2896
502	2922	2887
503	2925	2878
504	2929	2871
505	2932	2862
506	2935	2854
507	2938	2845
508	2940	2836
509	2945	2830
510	2948	2821
511	2951	2813
512	2955	2805
513	2968	2807
514	2972	2799
515	2979	2794
516	2985	2789
517	2993	2785
518	2997	2777
519	3000	2769
520	3003	2761
521	3010	2756
522	3012	2747
523	3015	2739
524	3018	2731
525	3023	2724
526	3026	2716
527	3029	2707
528	3031	2699
529	3035	2691
530	3038	2683
531	3040	2675
532	3043	2667
533	3046	2658
534	3049	2650
535	3054	2644
536	3057	2636
537	3061	2628
538	3065	2622
539	3071	2616
540	3078	2611
541	3087	2609
542	3091	2601
543	3095	2595
544	3102	2589
545	3105	2582
546	3109	2574
547	3115	2569
548	3119	2562
549	3122	2555
550	3127	2548
551	3133	2542
552	3136	2535
553	3139	2527
554	3144	2521
555	3148	2514
556	3151	2506
557	3154	2498
558	3159	2492
559	3162	2484
560	3165	2477
561	3168	2469
